Time,UserName,Tweet_text,All_Hashtags,Retweet_count,Like_count,Followers_count,Description,Hour_of_Post,Day_of_Week,Month,Year,Minute_of_Post,Second_of_Post,Is_Weekend,cleaned_Tweet_text,cleaned_description,engagement_score,engagement_rate
2025-02-12 14:18:09+00:00,usaplumbingsept,Nobody regrets it just more fake news only now they are not getting federal funds for it,[],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,9,False, nobody regrets it just more fake news only now they are not getting federal funds for it," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:09+00:00,usaplumbingsept,Predicting a  10 million  Bitcoin price  That s some AI fueled genius    can help you train your AI to predict the unpredictable,['Bitcoin'],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,9,False, predicting a 10 million bitcoin price that s some ai fueled genius can help you train your ai to predict the unpredictable," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:09+00:00,usaplumbingsept,"INFLATION

  CA 3HoxwsPLcuLMnxkdJLvCpZ58TUA7QHQBDHftAPQcpump

    4   Smart Money 
     Buy    185 13  MC 121 65K 
     Buy    107 36  MC 145 58K 
     Buy    383 72  MC 247 69K 
     Buy    959 69  MC 74 89K",[],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,9,False, inflation ca 3hoxwsplculmnxkdjlvcpz58tua7qhqbdhftapqcpump 4 smart money buy 185 13 mc 121 65k buy 107 36 mc 145 58k buy 383 72 mc 247 69k buy 959 69 mc 74 89k," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:09+00:00,usaplumbingsept,Buying a phone with  J sounds cool  Just wait until you can train your AI with PublicAI while you re at it      Who knew shopping could be so smart,[],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,9,False, buying a phone with j sounds cool just wait until you can train your ai with publicai while you re at it who knew shopping could be so smart," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:09+00:00,usaplumbingsept,The word is WHEN,[],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,9,False, the word is when," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:09+00:00,usaplumbingsept,Changing the narrative from DYOR to DIFM  Do it for me   Levelling the playing field with the power of  AI with,['AI'],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,9,False, changing the narrative from dyor to difm do it for me levelling the playing field with the power of ai with," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:08+00:00,usaplumbingsept,This is fascinating,[],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,8,False, this is fascinating," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:08+00:00,usaplumbingsept,"The Russian Kingisepp Kaliningrad communication cable was damaged in the Baltic Sea 

The damage took place in Finland s exclusive economic zone  where a Russian vessel is currently working to restore the cable",[],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,8,False, the russian kingisepp kaliningrad communication cable was damaged in the baltic sea the damage took place in finland s exclusive economic zone where a russian vessel is currently working to restore the cable," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:08+00:00,usaplumbingsept,"The Unstoppable Transition  Green Hydrogen and the Future of Clean Energy
  
 Veteran  Vets  Ohio  Technology is changing our world   for the better forever  Move beyond  could  to  will  in  2025","['Veteran,', 'Vets,', 'Ohio,', 'Technology']",0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,8,False, the unstoppable transition green hydrogen and the future of clean energy veteran vets ohio technology is changing our world for the better forever move beyond could to will in 2025," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:08+00:00,usaplumbingsept,No video today   Maybe train an AI on your past videos with PublicAI  then it can make them  for  you      PublicAI,['PublicAI'],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,8,False, no video today maybe train an ai on your past videos with publicai then it can make them for you publicai," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
2025-02-12 14:18:08+00:00,usaplumbingsept,I hope  Binance will listing  NC in this month  right,[],0,0,17,"USA Plumbing and Septic LLC is a full service plumbing company in the Tri-state area Offering New installations, Service and Repair Residential and commercial",14,2,2,2025,18,8,False, i hope binance will listing nc in this month right," usa plumbing and septic llc is a full service plumbing company in the tri-state area offering new installations, service and repair residential and commercial",0,0.0
